DATA_RICOVERO;REGIME;SEDE;TIPO_RICOVERO;NUMERO_RICOVERI
01/01/2023;ORDINARIO;ABBIATEGRASSO;Da Ps;1
01/01/2023;ORDINARIO;CUGGIONO;Da Ps;1
01/01/2023;ORDINARIO;CUGGIONO;Programmato;1
01/01/2023;ORDINARIO;LEGNANO;Da Ps;12
01/01/2023;ORDINARIO;LEGNANO;Programmato;5
01/01/2023;ORDINARIO;MAGENTA;Da Ps;19
01/01/2023;ORDINARIO;MAGENTA;Programmato;4
02/01/2023;ORDINARIO;ABBIATEGRASSO;Programmato;3
02/01/2023;ORDINARIO;ABBIATEGRASSO;Da Ps;2
02/01/2023;ORDINARIO;CUGGIONO;Da Ps;5
02/01/2023;ORDINARIO;CUGGIONO;Programmato;2
02/01/2023;ORDINARIO;LEGNANO;Da Ps;28
02/01/2023;ORDINARIO;LEGNANO;Programmato;17
02/01/2023;ORDINARIO;MAGENTA;Programmato;12
02/01/2023;ORDINARIO;MAGENTA;Da Ps;17
02/01/2023;DAY HOSPITAL;MAGENTA;Programmato;2
02/01/2023;MAC;CUGGIONO;Programmato;4
02/01/2023;MAC;LEGNANO;Programmato;37
02/01/2023;MAC;MAGENTA;Programmato;13
03/01/2023;ORDINARIO;ABBIATEGRASSO;Da Ps;2
03/01/2023;ORDINARIO;ABBIATEGRASSO;Programmato;2
03/01/2023;ORDINARIO;CUGGIONO;Programmato;1
03/01/2023;ORDINARIO;CUGGIONO;Da Ps;2
03/01/2023;ORDINARIO;LEGNANO;Programmato;12
03/01/2023;ORDINARIO;LEGNANO;Da Ps;36
03/01/2023;ORDINARIO;MAGENTA;Da Ps;18
03/01/2023;ORDINARIO;MAGENTA;Programmato;10
03/01/2023;DAY HOSPITAL;LEGNANO;Programmato;3
03/01/2023;DAY HOSPITAL;MAGENTA;Programmato;4
03/01/2023;MAC;CUGGIONO;Programmato;11
03/01/2023;MAC;LEGNANO;Programmato;20
03/01/2023;MAC;MAGENTA;Programmato;24
04/01/2023;ORDINARIO;ABBIATEGRASSO;Programmato;2
04/01/2023;ORDINARIO;ABBIATEGRASSO;Da Ps;2
04/01/2023;ORDINARIO;CUGGIONO;Programmato;2
