DATA_RICOVERO;REGIME;SEDE;TIPO_RICOVERO;NUMERO_RICOVERI
01/01/2022;ORDINARIO;LEGNANO;Programmato;6
01/01/2022;ORDINARIO;LEGNANO;Da Ps;26
01/01/2022;ORDINARIO;MAGENTA;Da Ps;9
01/01/2022;ORDINARIO;MAGENTA;Programmato;1
02/01/2022;ORDINARIO;ABBIATEGRASSO;Da Ps;1
02/01/2022;ORDINARIO;CUGGIONO;Da Ps;2
02/01/2022;ORDINARIO;LEGNANO;Programmato;11
02/01/2022;ORDINARIO;LEGNANO;Da Ps;23
02/01/2022;ORDINARIO;MAGENTA;Da Ps;20
02/01/2022;ORDINARIO;MAGENTA;Programmato;8
03/01/2022;ORDINARIO;ABBIATEGRASSO;Da Ps;2
03/01/2022;ORDINARIO;ABBIATEGRASSO;Programmato;9
03/01/2022;ORDINARIO;CUGGIONO;Da Ps;1
03/01/2022;ORDINARIO;LEGNANO;Programmato;7
03/01/2022;ORDINARIO;LEGNANO;Da Ps;22
03/01/2022;ORDINARIO;MAGENTA;Da Ps;24
03/01/2022;ORDINARIO;MAGENTA;Programmato;20
03/01/2022;DAY HOSPITAL;LEGNANO;Programmato;1
03/01/2022;MAC;LEGNANO;Programmato;30
03/01/2022;MAC;MAGENTA;Programmato;14
04/01/2022;ORDINARIO;ABBIATEGRASSO;Da Ps;3
04/01/2022;ORDINARIO;ABBIATEGRASSO;Programmato;6
04/01/2022;ORDINARIO;CUGGIONO;Programmato;3
04/01/2022;ORDINARIO;CUGGIONO;Da Ps;1
04/01/2022;ORDINARIO;LEGNANO;Programmato;25
04/01/2022;ORDINARIO;LEGNANO;Da Ps;40
04/01/2022;ORDINARIO;MAGENTA;Programmato;11
04/01/2022;ORDINARIO;MAGENTA;Da Ps;20
04/01/2022;DAY HOSPITAL;LEGNANO;Programmato;9
04/01/2022;DAY HOSPITAL;MAGENTA;Programmato;1
04/01/2022;BIC;LEGNANO;Programmato;1
04/01/2022;BIC;MAGENTA;Programmato;1
04/01/2022;MAC;CUGGIONO;Programmato;1
