DATA_ACCESSO;NUMERO_ACCESSI
28/05/2023;50
29/05/2023;3537
30/05/2023;3568
31/05/2023;4015
01/06/2023;3172
02/06/2023;47
03/06/2023;152
04/06/2023;43
05/06/2023;3379
06/06/2023;3559
07/06/2023;3588
08/06/2023;3374
09/06/2023;2924
10/06/2023;182
11/06/2023;56
12/06/2023;3469
13/06/2023;3427
14/06/2023;3446
15/06/2023;3293
16/06/2023;2926
17/06/2023;197
18/06/2023;50
19/06/2023;3370
20/06/2023;3345
21/06/2023;3340
22/06/2023;3230
23/06/2023;2713
24/06/2023;205
25/06/2023;44
26/06/2023;3350
27/06/2023;3452
28/06/2023;3370
29/06/2023;3253
30/06/2023;3306
01/07/2023;145
02/07/2023;60
03/07/2023;3304
04/07/2023;3348
05/07/2023;3313
06/07/2023;3213
07/07/2023;2859
08/07/2023;200
09/07/2023;51
10/07/2023;3176
11/07/2023;3240
12/07/2023;3250
13/07/2023;3024
14/07/2023;2686
15/07/2023;181
16/07/2023;54
17/07/2023;3132
18/07/2023;2946
19/07/2023;3049
20/07/2023;2871
21/07/2023;2627
22/07/2023;223
23/07/2023;45
24/07/2023;3035
25/07/2023;2866
26/07/2023;2876
27/07/2023;2815
28/07/2023;2558
29/07/2023;189
30/07/2023;44
31/07/2023;2834
01/08/2023;2387
02/08/2023;2466
03/08/2023;2229
04/08/2023;2053
05/08/2023;130
06/08/2023;51
07/08/2023;2144
08/08/2023;1950
09/08/2023;2108
10/08/2023;1849
11/08/2023;1761
12/08/2023;119
13/08/2023;39
14/08/2023;1081
15/08/2023;67
16/08/2023;1477
17/08/2023;1424
18/08/2023;1441
19/08/2023;107
20/08/2023;63
21/08/2023;1970
22/08/2023;1841
23/08/2023;2023
24/08/2023;1803
25/08/2023;1711
26/08/2023;112
27/08/2023;47
28/08/2023;2432
29/08/2023;2421
30/08/2023;2525
31/08/2023;2536
01/09/2023;2147
02/09/2023;232
03/09/2023;74
04/09/2023;3118
05/09/2023;3229
06/09/2023;3289
07/09/2023;3057
08/09/2023;2809
09/09/2023;262
10/09/2023;86
11/09/2023;3412
12/09/2023;3266
13/09/2023;3450
14/09/2023;3401
15/09/2023;3032
16/09/2023;226
17/09/2023;63
18/09/2023;3569
19/09/2023;3515
20/09/2023;3580
21/09/2023;3433
22/09/2023;2999
23/09/2023;293
24/09/2023;103
25/09/2023;3690
26/09/2023;3803
27/09/2023;3681
28/09/2023;3465
29/09/2023;3234
30/09/2023;377
01/10/2023;61
02/10/2023;3596
03/10/2023;3563
04/10/2023;3577
05/10/2023;3514
06/10/2023;2931
07/10/2023;297
08/10/2023;74
09/10/2023;3582
10/10/2023;3726
11/10/2023;3732
12/10/2023;3596
13/10/2023;2979
14/10/2023;274
15/10/2023;49
16/10/2023;3679
17/10/2023;3687
18/10/2023;3643
19/10/2023;3515
20/10/2023;3011
21/10/2023;263
22/10/2023;41
23/10/2023;3836
24/10/2023;3659
25/10/2023;3673
26/10/2023;3502
27/10/2023;2982
28/10/2023;297
29/10/2023;71
30/10/2023;3651
31/10/2023;3523
01/11/2023;81
02/11/2023;2891
03/11/2023;2864
04/11/2023;265
05/11/2023;75
06/11/2023;3774
07/11/2023;3687
08/11/2023;3733
09/11/2023;3548
10/11/2023;3244
11/11/2023;245
12/11/2023;38
13/11/2023;3812
14/11/2023;3770
15/11/2023;3716
16/11/2023;3540
17/11/2023;2919
18/11/2023;212
19/11/2023;54
20/11/2023;3889
21/11/2023;3715
22/11/2023;3686
23/11/2023;3529
24/11/2023;3068
25/11/2023;283
26/11/2023;86
27/11/2023;3796
28/11/2023;3797
29/11/2023;3772
30/11/2023;3872
01/12/2023;3108
02/12/2023;210
03/12/2023;88
04/12/2023;3963
05/12/2023;2942
06/12/2023;3791
07/12/2023;3305
08/12/2023;86
09/12/2023;266
10/12/2023;82
11/12/2023;3984
12/12/2023;3815
13/12/2023;3757
14/12/2023;3631
15/12/2023;3223
16/12/2023;316
17/12/2023;99
18/12/2023;3539
19/12/2023;3733
20/12/2023;3624
21/12/2023;3290
22/12/2023;2780
23/12/2023;102
24/12/2023;93
25/12/2023;26
26/12/2023;76
27/12/2023;2005
28/12/2023;1718
29/12/2023;1837
30/12/2023;126
31/12/2023;154
