DATA_ACCESSO;NUMERO_ACCESSI
01/01/2023;21
02/01/2023;1525
03/01/2023;1566
04/01/2023;1769
05/01/2023;1563
06/01/2023;39
07/01/2023;208
08/01/2023;51
09/01/2023;3381
10/01/2023;3397
11/01/2023;3403
12/01/2023;3391
13/01/2023;2824
14/01/2023;169
15/01/2023;29
16/01/2023;3485
17/01/2023;3417
18/01/2023;3342
19/01/2023;3345
20/01/2023;2947
21/01/2023;197
22/01/2023;28
23/01/2023;3547
24/01/2023;3433
25/01/2023;3397
26/01/2023;3370
27/01/2023;2871
28/01/2023;173
29/01/2023;26
30/01/2023;3583
31/01/2023;3875
01/02/2023;3441
02/02/2023;3288
03/02/2023;2889
04/02/2023;151
05/02/2023;35
06/02/2023;3537
07/02/2023;3470
08/02/2023;3462
09/02/2023;3319
10/02/2023;2879
11/02/2023;185
12/02/2023;29
13/02/2023;3515
14/02/2023;3484
15/02/2023;3551
16/02/2023;3399
17/02/2023;2880
18/02/2023;214
19/02/2023;46
20/02/2023;3505
21/02/2023;3398
22/02/2023;3418
23/02/2023;3234
24/02/2023;2767
25/02/2023;174
26/02/2023;42
27/02/2023;3490
28/02/2023;3951
01/03/2023;3522
02/03/2023;3356
03/03/2023;2870
04/03/2023;207
05/03/2023;48
06/03/2023;3518
07/03/2023;3540
08/03/2023;3531
09/03/2023;3339
10/03/2023;2909
11/03/2023;202
12/03/2023;56
13/03/2023;3452
14/03/2023;3471
15/03/2023;3486
16/03/2023;3481
17/03/2023;2864
18/03/2023;198
19/03/2023;35
20/03/2023;3572
21/03/2023;3511
22/03/2023;3501
23/03/2023;3305
24/03/2023;2928
25/03/2023;207
26/03/2023;49
27/03/2023;3526
28/03/2023;3555
29/03/2023;3424
30/03/2023;3493
31/03/2023;3221
01/04/2023;209
02/04/2023;37
03/04/2023;3511
04/04/2023;3553
05/04/2023;3448
06/04/2023;3126
07/04/2023;2221
08/04/2023;64
09/04/2023;22
10/04/2023;39
11/04/2023;2880
12/04/2023;3443
13/04/2023;3103
14/04/2023;2834
15/04/2023;102
16/04/2023;40
17/04/2023;3657
18/04/2023;3697
19/04/2023;3650
20/04/2023;3409
21/04/2023;2949
22/04/2023;213
23/04/2023;58
24/04/2023;2223
25/04/2023;50
26/04/2023;3479
27/04/2023;3394
28/04/2023;3181
29/04/2023;213
30/04/2023;244
01/05/2023;47
02/05/2023;3486
03/05/2023;3611
04/05/2023;3361
05/05/2023;2941
06/05/2023;197
07/05/2023;52
08/05/2023;3466
09/05/2023;3486
10/05/2023;3527
11/05/2023;3382
12/05/2023;2975
13/05/2023;228
14/05/2023;46
15/05/2023;3609
16/05/2023;3537
17/05/2023;3532
18/05/2023;3498
19/05/2023;2931
20/05/2023;203
21/05/2023;36
22/05/2023;3502
23/05/2023;3505
24/05/2023;3429
25/05/2023;3415
26/05/2023;2850
27/05/2023;194
