DATA_ACCESSO;NUMERO_ACCESSI
01/01/2021;17
02/01/2021;43
03/01/2021;16
04/01/2021;1282
05/01/2021;1272
06/01/2021;15
07/01/2021;1628
08/01/2021;1347
09/01/2021;133
10/01/2021;18
11/01/2021;2189
12/01/2021;2352
13/01/2021;2525
14/01/2021;2685
15/01/2021;2127
16/01/2021;162
17/01/2021;17
18/01/2021;2609
19/01/2021;2691
20/01/2021;2696
21/01/2021;2633
22/01/2021;2145
23/01/2021;146
24/01/2021;20
25/01/2021;2679
26/01/2021;2816
27/01/2021;2703
28/01/2021;2706
29/01/2021;2372
30/01/2021;167
31/01/2021;165
01/02/2021;2748
02/02/2021;2780
03/02/2021;2730
04/02/2021;2702
05/02/2021;2379
06/02/2021;140
07/02/2021;11
08/02/2021;2862
09/02/2021;2939
10/02/2021;3126
11/02/2021;2893
12/02/2021;2501
13/02/2021;557
14/02/2021;10
15/02/2021;2883
16/02/2021;2973
17/02/2021;3141
18/02/2021;2942
19/02/2021;2508
20/02/2021;730
21/02/2021;726
22/02/2021;3022
23/02/2021;3156
24/02/2021;3066
25/02/2021;3109
26/02/2021;2737
27/02/2021;544
28/02/2021;704
01/03/2021;3025
02/03/2021;2989
03/03/2021;3263
04/03/2021;2943
05/03/2021;2480
06/03/2021;551
07/03/2021;17
08/03/2021;2957
09/03/2021;2989
10/03/2021;3252
11/03/2021;3078
12/03/2021;2460
13/03/2021;1496
14/03/2021;922
15/03/2021;2898
16/03/2021;3054
17/03/2021;2961
18/03/2021;2877
19/03/2021;2419
20/03/2021;523
21/03/2021;735
22/03/2021;2862
23/03/2021;2999
24/03/2021;2976
25/03/2021;2905
26/03/2021;2582
27/03/2021;881
28/03/2021;739
29/03/2021;2931
30/03/2021;3004
31/03/2021;3274
01/04/2021;2717
02/04/2021;1964
03/04/2021;26
04/04/2021;13
05/04/2021;22
06/04/2021;2648
07/04/2021;2706
08/04/2021;2697
09/04/2021;2272
10/04/2021;68
11/04/2021;22
12/04/2021;3092
13/04/2021;3103
14/04/2021;3142
15/04/2021;2966
16/04/2021;2561
17/04/2021;131
18/04/2021;17
19/04/2021;3039
20/04/2021;3236
21/04/2021;3704
22/04/2021;3422
23/04/2021;3155
24/04/2021;64
25/04/2021;18
26/04/2021;3440
27/04/2021;3535
28/04/2021;3426
29/04/2021;3177
30/04/2021;2925
01/05/2021;23
02/05/2021;16
03/05/2021;3056
04/05/2021;3307
05/05/2021;3730
06/05/2021;3576
07/05/2021;3150
08/05/2021;451
09/05/2021;726
10/05/2021;3821
11/05/2021;3381
12/05/2021;3992
13/05/2021;3382
14/05/2021;3452
15/05/2021;183
16/05/2021;562
17/05/2021;3863
18/05/2021;3994
19/05/2021;3835
20/05/2021;3657
21/05/2021;2662
22/05/2021;186
23/05/2021;28
24/05/2021;3403
25/05/2021;3461
26/05/2021;3485
27/05/2021;3407
28/05/2021;3340
29/05/2021;165
30/05/2021;15
31/05/2021;4015
01/06/2021;3372
02/06/2021;305
03/06/2021;3438
04/06/2021;3088
05/06/2021;200
06/06/2021;26
07/06/2021;3318
08/06/2021;3567
09/06/2021;3668
10/06/2021;3480
11/06/2021;2859
12/06/2021;156
13/06/2021;37
14/06/2021;3416
15/06/2021;3570
16/06/2021;3642
17/06/2021;3490
18/06/2021;3018
19/06/2021;161
20/06/2021;12
21/06/2021;3304
22/06/2021;3387
23/06/2021;3403
24/06/2021;3172
25/06/2021;2794
26/06/2021;180
27/06/2021;35
28/06/2021;3212
29/06/2021;3208
30/06/2021;3673
01/07/2021;3109
02/07/2021;2766
03/07/2021;158
04/07/2021;25
05/07/2021;3063
06/07/2021;3269
07/07/2021;3220
08/07/2021;3051
09/07/2021;2718
10/07/2021;147
11/07/2021;26
12/07/2021;2994
13/07/2021;2929
14/07/2021;3045
15/07/2021;2830
16/07/2021;2541
17/07/2021;157
18/07/2021;19
19/07/2021;2970
20/07/2021;2915
21/07/2021;2928
22/07/2021;2789
23/07/2021;2275
24/07/2021;156
25/07/2021;37
26/07/2021;2738
27/07/2021;2726
28/07/2021;2760
29/07/2021;2630
30/07/2021;2349
31/07/2021;320
01/08/2021;32
02/08/2021;2457
03/08/2021;2295
04/08/2021;2448
05/08/2021;2091
06/08/2021;1884
07/08/2021;78
08/08/2021;33
09/08/2021;2009
10/08/2021;1854
11/08/2021;1995
12/08/2021;1781
13/08/2021;1551
14/08/2021;48
15/08/2021;15
16/08/2021;1572
17/08/2021;1587
18/08/2021;1695
19/08/2021;1631
20/08/2021;1525
21/08/2021;64
22/08/2021;21
23/08/2021;1950
24/08/2021;1920
25/08/2021;2099
26/08/2021;1904
27/08/2021;1788
28/08/2021;34
29/08/2021;32
30/08/2021;2493
31/08/2021;2885
01/09/2021;2793
02/09/2021;2644
03/09/2021;2421
04/09/2021;233
05/09/2021;33
06/09/2021;3200
07/09/2021;3314
08/09/2021;3208
09/09/2021;3147
10/09/2021;2764
11/09/2021;197
12/09/2021;24
13/09/2021;3245
14/09/2021;3389
15/09/2021;3408
16/09/2021;3350
17/09/2021;2903
18/09/2021;257
19/09/2021;34
20/09/2021;3392
21/09/2021;3544
22/09/2021;3550
23/09/2021;3423
24/09/2021;2877
25/09/2021;270
26/09/2021;31
27/09/2021;3440
28/09/2021;3609
29/09/2021;3549
30/09/2021;3795
01/10/2021;2854
02/10/2021;267
03/10/2021;40
04/10/2021;3426
05/10/2021;3622
06/10/2021;3581
07/10/2021;3507
08/10/2021;2819
09/10/2021;264
10/10/2021;17
11/10/2021;3579
12/10/2021;3574
13/10/2021;3599
14/10/2021;3358
15/10/2021;2904
16/10/2021;356
17/10/2021;30
18/10/2021;3510
19/10/2021;3644
20/10/2021;3710
21/10/2021;3456
22/10/2021;2905
23/10/2021;267
24/10/2021;25
25/10/2021;3549
26/10/2021;3662
27/10/2021;3613
28/10/2021;3558
29/10/2021;3185
30/10/2021;255
31/10/2021;158
01/11/2021;26
02/11/2021;3484
03/11/2021;3605
04/11/2021;3421
05/11/2021;2931
06/11/2021;287
07/11/2021;24
08/11/2021;3629
09/11/2021;3692
10/11/2021;3664
11/11/2021;3505
12/11/2021;2950
13/11/2021;349
14/11/2021;28
15/11/2021;3558
16/11/2021;3627
17/11/2021;3561
18/11/2021;3502
19/11/2021;2860
20/11/2021;296
21/11/2021;17
22/11/2021;3526
23/11/2021;3578
24/11/2021;3596
25/11/2021;3588
26/11/2021;3063
27/11/2021;325
28/11/2021;22
29/11/2021;3621
30/11/2021;3907
01/12/2021;3570
02/12/2021;3494
03/12/2021;3030
04/12/2021;288
05/12/2021;22
06/12/2021;3142
07/12/2021;3109
08/12/2021;24
09/12/2021;3276
10/12/2021;2895
11/12/2021;355
12/12/2021;29
13/12/2021;3596
14/12/2021;3683
15/12/2021;3703
16/12/2021;3540
17/12/2021;3011
18/12/2021;249
19/12/2021;32
20/12/2021;3337
21/12/2021;3311
22/12/2021;3236
23/12/2021;2512
24/12/2021;1272
25/12/2021;26
26/12/2021;30
27/12/2021;1823
28/12/2021;1885
29/12/2021;1877
30/12/2021;1719
31/12/2021;1422
