DATA_ACCETTAZIONE;SEDE;TIPO_PS;NUMERO_ACCESSI
01/01/2023;Distretto Cuggiono;SALA CUGGIONO;15
01/01/2023;Distretto di Abbiategrasso;SALA ABBIATEGRASSO;15
01/01/2023;Distretto di Abbiategrasso;OCULISTICA ABBIATEGRASSO;3
01/01/2023;Distretto di Legnano;MEDICINA LEGNANO;41
01/01/2023;Distretto di Legnano;OBI PEDIATRICA LEGNANO;1
01/01/2023;Distretto di Legnano;OCULISTICA;2
01/01/2023;Distretto di Legnano;PEDIATRIA LEGNANO;32
01/01/2023;Distretto di Legnano;ORTOPEDIA LEGNANO;23
01/01/2023;Distretto di Legnano;MEDICINA COVID LEGNANO;3
01/01/2023;Distretto di Legnano;CHIRURGIA LEGNANO;24
01/01/2023;Distretto di Legnano;OSTETRICIA/GINECOLOGIA LEGNANO;7
01/01/2023;Distretto di Legnano;PEDIATRIA/CHIRURGICA LEGNANO;1
01/01/2023;Distretto Magenta;GESSI (ORTOPEDIA);1
01/01/2023;Distretto Magenta;PEDIATRIA MAGENTA;36
01/01/2023;Distretto Magenta;OBI GENERALE MAGENTA;6
01/01/2023;Distretto Magenta;ORTOPEDIA MAGENTA;23
01/01/2023;Distretto Magenta;MEDICINA MAGENTA;40
01/01/2023;Distretto Magenta;CHIRURGIA MAGENTA;28
01/01/2023;Distretto Magenta;OSTETRICIA/GINECOLOGIA MAGENTA;8
01/01/2023;Distretto Magenta;OBI PEDIATRICA MAGENTA;1
01/01/2023;Distretto Magenta;PEDIATRIA COVID ACCOMPAGNATORI;2
01/01/2023;Distretto Magenta;MEDICINA COVID MAGENTA;1
02/01/2023;Distretto Cuggiono;SALA CUGGIONO;39
02/01/2023;Distretto di Abbiategrasso;SALA ABBIATEGRASSO;17
02/01/2023;Distretto di Abbiategrasso;OCULISTICA ABBIATEGRASSO;9
02/01/2023;Distretto di Legnano;OSTETRICIA/GINECOLOGIA LEGNANO;17
02/01/2023;Distretto di Legnano;ORTOPEDIA LEGNANO;34
02/01/2023;Distretto di Legnano;OCULISTICA;5
02/01/2023;Distretto di Legnano;MEDICINA COVID LEGNANO;4
02/01/2023;Distretto di Legnano;CHIRURGIA LEGNANO;44
02/01/2023;Distretto di Legnano;PEDIATRIA LEGNANO;19
02/01/2023;Distretto di Legnano;MEDICINA LEGNANO;59
02/01/2023;Distretto Magenta;CHIRURGIA MAGENTA;34
02/01/2023;Distretto Magenta;MEDICINA MAGENTA;59
02/01/2023;Distretto Magenta;PEDIATRIA MAGENTA;34
02/01/2023;Distretto Magenta;OBI GENERALE MAGENTA;6
