DATA_ACCETTAZIONE;SEDE;TIPO_PS;NUMERO_ACCESSI
01/01/2022;Distretto Cuggiono;SALA CUGGIONO;16
01/01/2022;Distretto di Abbiategrasso;OCULISTICA ABBIATEGRASSO;1
01/01/2022;Distretto di Abbiategrasso;SALA ABBIATEGRASSO;12
01/01/2022;Distretto di Legnano;PEDIATRIA LEGNANO;24
01/01/2022;Distretto di Legnano;OSTETRICIA/GINECOLOGIA LEGNANO;19
01/01/2022;Distretto di Legnano;MEDICINA LEGNANO;37
01/01/2022;Distretto di Legnano;OBI PEDIATRICA LEGNANO;1
01/01/2022;Distretto di Legnano;CHIRURGIA LEGNANO;28
01/01/2022;Distretto di Legnano;PEDIATRIA/CHIRURGICA LEGNANO;1
01/01/2022;Distretto di Legnano;OCULISTICA;4
01/01/2022;Distretto di Legnano;ORTOPEDIA LEGNANO;30
01/01/2022;Distretto di Legnano;MEDICINA COVID LEGNANO;23
01/01/2022;Distretto Magenta;ORTOPEDIA MAGENTA;17
01/01/2022;Distretto Magenta;MEDICINA COVID MAGENTA;9
01/01/2022;Distretto Magenta;GESSI (ORTOPEDIA);1
01/01/2022;Distretto Magenta;MEDICINA MAGENTA;33
01/01/2022;Distretto Magenta;OBI GENERALE MAGENTA;11
01/01/2022;Distretto Magenta;PEDIATRIA COVID ACCOMPAGNATORI;1
01/01/2022;Distretto Magenta;PEDIATRIA MAGENTA;33
01/01/2022;Distretto Magenta;CHIRURGIA MAGENTA;22
01/01/2022;Distretto Magenta;OSTETRICIA/GINECOLOGIA MAGENTA;4
02/01/2022;Distretto Cuggiono;SALA CUGGIONO;18
02/01/2022;Distretto di Abbiategrasso;OCULISTICA ABBIATEGRASSO;3
02/01/2022;Distretto di Abbiategrasso;SALA ABBIATEGRASSO;13
02/01/2022;Distretto di Legnano;ORTOPEDIA LEGNANO;21
02/01/2022;Distretto di Legnano;PEDIATRIA LEGNANO;17
02/01/2022;Distretto di Legnano;OCULISTICA;2
02/01/2022;Distretto di Legnano;OSTETRICIA/GINECOLOGIA LEGNANO;8
02/01/2022;Distretto di Legnano;MEDICINA LEGNANO;40
02/01/2022;Distretto di Legnano;OBI PEDIATRICA LEGNANO;2
02/01/2022;Distretto di Legnano;MEDICINA COVID LEGNANO;20
02/01/2022;Distretto di Legnano;CHIRURGIA LEGNANO;27
02/01/2022;Distretto Magenta;ORTOPEDIA MAGENTA;19
02/01/2022;Distretto Magenta;PEDIATRIA MAGENTA;26
02/01/2022;Distretto Magenta;PEDIATRIA COVID ACCOMPAGNATORI;2
02/01/2022;Distretto Magenta;MEDICINA COVID MAGENTA;14
02/01/2022;Distretto Magenta;CHIRURGIA MAGENTA;38
02/01/2022;Distretto Magenta;OSTETRICIA/GINECOLOGIA MAGENTA;12
02/01/2022;Distretto Magenta;OBI GENERALE MAGENTA;4
02/01/2022;Distretto Magenta;MEDICINA MAGENTA;39
03/01/2022;Distretto Cuggiono;SALA CUGGIONO;24
03/01/2022;Distretto di Abbiategrasso;OCULISTICA ABBIATEGRASSO;8
03/01/2022;Distretto di Abbiategrasso;SALA ABBIATEGRASSO;26
03/01/2022;Distretto di Legnano;PEDIATRIA LEGNANO;16
03/01/2022;Distretto di Legnano;PEDIATRIA/CHIRURGICA LEGNANO;1
03/01/2022;Distretto di Legnano;MEDICINA COVID LEGNANO;28
03/01/2022;Distretto di Legnano;ORTOPEDIA LEGNANO;35
03/01/2022;Distretto di Legnano;OSTETRICIA/GINECOLOGIA LEGNANO;9
03/01/2022;Distretto di Legnano;CHIRURGIA LEGNANO;42
03/01/2022;Distretto di Legnano;OCULISTICA;2
03/01/2022;Distretto di Legnano;MEDICINA LEGNANO;49
03/01/2022;Distretto Magenta;OBI PEDIATRICA MAGENTA;1
03/01/2022;Distretto Magenta;PEDIATRIA MAGENTA;23
03/01/2022;Distretto Magenta;OSTETRICIA/GINECOLOGIA MAGENTA;9
03/01/2022;Distretto Magenta;MEDICINA MAGENTA;56
03/01/2022;Distretto Magenta;OBI GENERALE MAGENTA;4
03/01/2022;Distretto Magenta;ORTOPEDIA MAGENTA;30
03/01/2022;Distretto Magenta;MEDICINA COVID MAGENTA;24
03/01/2022;Distretto Magenta;CHIRURGIA MAGENTA;21
03/01/2022;Distretto Magenta;PEDIATRIA COVID ACCOMPAGNATORI;1
04/01/2022;Distretto Cuggiono;SALA CUGGIONO;28
04/01/2022;Distretto di Abbiategrasso;SALA ABBIATEGRASSO;15
04/01/2022;Distretto di Abbiategrasso;OCULISTICA ABBIATEGRASSO;3
04/01/2022;Distretto di Legnano;MEDICINA LEGNANO;54
04/01/2022;Distretto di Legnano;ORTOPEDIA LEGNANO;17
04/01/2022;Distretto di Legnano;OSTETRICIA/GINECOLOGIA LEGNANO;16
04/01/2022;Distretto di Legnano;MEDICINA COVID LEGNANO;28
04/01/2022;Distretto di Legnano;PEDIATRIA/CHIRURGICA LEGNANO;2
04/01/2022;Distretto di Legnano;PEDIATRIA LEGNANO;9
04/01/2022;Distretto di Legnano;OBI PEDIATRICA LEGNANO;1
04/01/2022;Distretto di Legnano;CHIRURGIA LEGNANO;29
04/01/2022;Distretto Magenta;OBI PEDIATRICA MAGENTA;1
04/01/2022;Distretto Magenta;OSTETRICIA/GINECOLOGIA MAGENTA;14
04/01/2022;Distretto Magenta;PEDIATRIA COVID ACCOMPAGNATORI;1
04/01/2022;Distretto Magenta;OBI GENERALE MAGENTA;10
04/01/2022;Distretto Magenta;MEDICINA MAGENTA;38
04/01/2022;Distretto Magenta;ORTOPEDIA MAGENTA;21
04/01/2022;Distretto Magenta;PEDIATRIA MAGENTA;9
04/01/2022;Distretto Magenta;CHIRURGIA MAGENTA;25
04/01/2022;Distretto Magenta;MEDICINA COVID MAGENTA;21
05/01/2022;Distretto Cuggiono;SALA CUGGIONO;30
05/01/2022;Distretto di Abbiategrasso;OCULISTICA ABBIATEGRASSO;7
05/01/2022;Distretto di Abbiategrasso;SALA ABBIATEGRASSO;17
05/01/2022;Distretto di Legnano;OSTETRICIA/GINECOLOGIA LEGNANO;9
05/01/2022;Distretto di Legnano;CHIRURGIA LEGNANO;34
05/01/2022;Distretto di Legnano;PEDIATRIA/CHIRURGICA LEGNANO;1
05/01/2022;Distretto di Legnano;OBI PEDIATRICA LEGNANO;1
05/01/2022;Distretto di Legnano;OCULISTICA;7
05/01/2022;Distretto di Legnano;MEDICINA LEGNANO;37
05/01/2022;Distretto di Legnano;MEDICINA COVID LEGNANO;24
05/01/2022;Distretto di Legnano;ORTOPEDIA LEGNANO;16
05/01/2022;Distretto di Legnano;PEDIATRIA LEGNANO;14
05/01/2022;Distretto Magenta;OBI GENERALE MAGENTA;9
05/01/2022;Distretto Magenta;MEDICINA COVID MAGENTA;26
05/01/2022;Distretto Magenta;PEDIATRIA MAGENTA;20
05/01/2022;Distretto Magenta;CHIRURGIA MAGENTA;28
05/01/2022;Distretto Magenta;ORTOPEDIA MAGENTA;23
05/01/2022;Distretto Magenta;OSTETRICIA/GINECOLOGIA MAGENTA;10
05/01/2022;Distretto Magenta;MEDICINA MAGENTA;38
06/01/2022;Distretto Cuggiono;SALA CUGGIONO;17
06/01/2022;Distretto di Abbiategrasso;SALA ABBIATEGRASSO;8
06/01/2022;Distretto di Abbiategrasso;OCULISTICA ABBIATEGRASSO;1
06/01/2022;Distretto di Legnano;MEDICINA COVID LEGNANO;26
06/01/2022;Distretto di Legnano;OCULISTICA;4
06/01/2022;Distretto di Legnano;CHIRURGIA LEGNANO;26
06/01/2022;Distretto di Legnano;MEDICINA LEGNANO;42
06/01/2022;Distretto di Legnano;OBI PEDIATRICA LEGNANO;1
06/01/2022;Distretto di Legnano;OSTETRICIA/GINECOLOGIA LEGNANO;6
06/01/2022;Distretto di Legnano;ORTOPEDIA LEGNANO;19
06/01/2022;Distretto di Legnano;PEDIATRIA LEGNANO;13
06/01/2022;Distretto Magenta;OBI PEDIATRICA MAGENTA;1
06/01/2022;Distretto Magenta;MEDICINA MAGENTA;43
06/01/2022;Distretto Magenta;PEDIATRIA MAGENTA;21
06/01/2022;Distretto Magenta;OBI GENERALE MAGENTA;3
06/01/2022;Distretto Magenta;PEDIATRIA COVID ACCOMPAGNATORI;3
06/01/2022;Distretto Magenta;OSTETRICIA/GINECOLOGIA MAGENTA;11
06/01/2022;Distretto Magenta;MEDICINA COVID MAGENTA;11
06/01/2022;Distretto Magenta;ORTOPEDIA MAGENTA;15
06/01/2022;Distretto Magenta;CHIRURGIA MAGENTA;29
07/01/2022;Distretto Cuggiono;SALA CUGGIONO;20
07/01/2022;Distretto di Abbiategrasso;SALA ABBIATEGRASSO;15
07/01/2022;Distretto di Abbiategrasso;OCULISTICA ABBIATEGRASSO;1
07/01/2022;Distretto di Legnano;CHIRURGIA LEGNANO;29
07/01/2022;Distretto di Legnano;MEDICINA LEGNANO;46
07/01/2022;Distretto di Legnano;ORTOPEDIA LEGNANO;21
07/01/2022;Distretto di Legnano;MEDICINA COVID LEGNANO;22
07/01/2022;Distretto di Legnano;PEDIATRIA LEGNANO;21
07/01/2022;Distretto di Legnano;OCULISTICA;4
07/01/2022;Distretto di Legnano;PEDIATRIA/CHIRURGICA LEGNANO;1
07/01/2022;Distretto di Legnano;OBI PEDIATRICA LEGNANO;1
07/01/2022;Distretto di Legnano;OSTETRICIA/GINECOLOGIA LEGNANO;14
07/01/2022;Distretto Magenta;CHIRURGIA MAGENTA;17
07/01/2022;Distretto Magenta;OBI GENERALE MAGENTA;5
07/01/2022;Distretto Magenta;GESSI (ORTOPEDIA);1
07/01/2022;Distretto Magenta;MEDICINA COVID MAGENTA;19
07/01/2022;Distretto Magenta;ORTOPEDIA MAGENTA;25
07/01/2022;Distretto Magenta;OSTETRICIA/GINECOLOGIA MAGENTA;10
07/01/2022;Distretto Magenta;PEDIATRIA MAGENTA;21
07/01/2022;Distretto Magenta;PEDIATRIA COVID ACCOMPAGNATORI;1
07/01/2022;Distretto Magenta;OBI PEDIATRICA MAGENTA;1
07/01/2022;Distretto Magenta;MEDICINA MAGENTA;49
08/01/2022;Distretto Cuggiono;SALA CUGGIONO;14
08/01/2022;Distretto di Abbiategrasso;OCULISTICA ABBIATEGRASSO;4
08/01/2022;Distretto di Abbiategrasso;SALA ABBIATEGRASSO;15
08/01/2022;Distretto di Legnano;OBI PEDIATRICA LEGNANO;1
08/01/2022;Distretto di Legnano;OSTETRICIA/GINECOLOGIA LEGNANO;9
08/01/2022;Distretto di Legnano;PEDIATRIA LEGNANO;24
08/01/2022;Distretto di Legnano;OCULISTICA;3
08/01/2022;Distretto di Legnano;CHIRURGIA LEGNANO;24
08/01/2022;Distretto di Legnano;MEDICINA COVID LEGNANO;24
08/01/2022;Distretto di Legnano;MEDICINA LEGNANO;35
08/01/2022;Distretto di Legnano;ORTOPEDIA LEGNANO;20
08/01/2022;Distretto Magenta;GESSI (ORTOPEDIA);1
08/01/2022;Distretto Magenta;ORTOPEDIA MAGENTA;12
08/01/2022;Distretto Magenta;OBI GENERALE MAGENTA;7
08/01/2022;Distretto Magenta;CHIRURGIA MAGENTA;35
08/01/2022;Distretto Magenta;MEDICINA MAGENTA;45
08/01/2022;Distretto Magenta;OSTETRICIA/GINECOLOGIA MAGENTA;11
08/01/2022;Distretto Magenta;MEDICINA COVID MAGENTA;16
08/01/2022;Distretto Magenta;PEDIATRIA MAGENTA;18
09/01/2022;Distretto Cuggiono;SALA CUGGIONO;13
09/01/2022;Distretto di Abbiategrasso;OCULISTICA ABBIATEGRASSO;3
09/01/2022;Distretto di Abbiategrasso;SALA ABBIATEGRASSO;9
09/01/2022;Distretto di Legnano;PEDIATRIA/CHIRURGICA LEGNANO;1
09/01/2022;Distretto di Legnano;PEDIATRIA LEGNANO;20
09/01/2022;Distretto di Legnano;MEDICINA COVID LEGNANO;18
09/01/2022;Distretto di Legnano;ORTOPEDIA LEGNANO;28
09/01/2022;Distretto di Legnano;OSTETRICIA/GINECOLOGIA LEGNANO;6
09/01/2022;Distretto di Legnano;MEDICINA LEGNANO;48
09/01/2022;Distretto di Legnano;CHIRURGIA LEGNANO;21
09/01/2022;Distretto Magenta;PEDIATRIA MAGENTA;21
09/01/2022;Distretto Magenta;ORTOPEDIA MAGENTA;17
09/01/2022;Distretto Magenta;CHIRURGIA MAGENTA;26
09/01/2022;Distretto Magenta;OBI GENERALE MAGENTA;2
09/01/2022;Distretto Magenta;OSTETRICIA/GINECOLOGIA MAGENTA;5
09/01/2022;Distretto Magenta;MEDICINA MAGENTA;58
09/01/2022;Distretto Magenta;OBI PEDIATRICA MAGENTA;2
09/01/2022;Distretto Magenta;MEDICINA COVID MAGENTA;13
10/01/2022;Distretto Cuggiono;SALA CUGGIONO;26
10/01/2022;Distretto di Abbiategrasso;OCULISTICA ABBIATEGRASSO;5
10/01/2022;Distretto di Abbiategrasso;SALA ABBIATEGRASSO;13
10/01/2022;Distretto di Legnano;OSTETRICIA/GINECOLOGIA LEGNANO;12
10/01/2022;Distretto di Legnano;OBI PEDIATRICA LEGNANO;2
10/01/2022;Distretto di Legnano;PEDIATRIA LEGNANO;9
10/01/2022;Distretto di Legnano;ORTOPEDIA LEGNANO;30
10/01/2022;Distretto di Legnano;CHIRURGIA LEGNANO;23
10/01/2022;Distretto di Legnano;OCULISTICA;6
10/01/2022;Distretto di Legnano;MEDICINA COVID LEGNANO;21
10/01/2022;Distretto di Legnano;MEDICINA LEGNANO;51
10/01/2022;Distretto Magenta;ORTOPEDIA MAGENTA;20
10/01/2022;Distretto Magenta;PEDIATRIA COVID ACCOMPAGNATORI;1
10/01/2022;Distretto Magenta;OBI GENERALE MAGENTA;4
10/01/2022;Distretto Magenta;OSTETRICIA/GINECOLOGIA MAGENTA;10
10/01/2022;Distretto Magenta;CHIRURGIA MAGENTA;37
10/01/2022;Distretto Magenta;MEDICINA COVID MAGENTA;17
10/01/2022;Distretto Magenta;PEDIATRIA MAGENTA;11
10/01/2022;Distretto Magenta;MEDICINA MAGENTA;36
10/01/2022;Distretto Magenta;GESSI (ORTOPEDIA);1
11/01/2022;Distretto Cuggiono;SALA CUGGIONO;19
11/01/2022;Distretto di Abbiategrasso;SALA ABBIATEGRASSO;9
11/01/2022;Distretto di Abbiategrasso;OCULISTICA ABBIATEGRASSO;3
11/01/2022;Distretto di Legnano;PEDIATRIA LEGNANO;11
11/01/2022;Distretto di Legnano;OCULISTICA;3
11/01/2022;Distretto di Legnano;ORTOPEDIA LEGNANO;20
11/01/2022;Distretto di Legnano;PEDIATRIA/CHIRURGICA LEGNANO;1
11/01/2022;Distretto di Legnano;MEDICINA COVID LEGNANO;12
